Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
-1685.65,2502.56,141.551,µm,Spot,Position,1,96934,
-1683.67,2555.21,136.498,µm,Spot,Position,1,96935,
-1632.4,2569.18,137.077,µm,Spot,Position,1,96936,
-1682.96,2579.07,140.146,µm,Spot,Position,1,96937,
-1705.55,2455.5,142.482,µm,Spot,Position,1,96938,
-1595.01,2479.24,148.255,µm,Spot,Position,1,96939,
-1701.13,2484.64,151.839,µm,Spot,Position,1,96940,
-1584.63,2500.55,151.717,µm,Spot,Position,1,96941,
-1608.28,2440.74,158.103,µm,Spot,Position,1,96942,
-1656.75,2462.8,163.412,µm,Spot,Position,1,96943,
-1648.67,2491.79,169.001,µm,Spot,Position,1,96944,
-1588.79,2586.72,167.713,µm,Spot,Position,1,96945,
-1709.8,2587.89,165.774,µm,Spot,Position,1,96946,
-1618.45,2509.59,171.655,µm,Spot,Position,1,96947,
-1542.57,2579.37,90.283,µm,Spot,Position,1,96948,
-1568.96,2437.72,92.8425,µm,Spot,Position,1,96949,
-1569.21,2469.76,105.795,µm,Spot,Position,1,96950,
-1545.39,2570.26,125.889,µm,Spot,Position,1,96951,
-1554.74,2439.43,145.151,µm,Spot,Position,1,96952,
-1506.42,2586.64,160.091,µm,Spot,Position,1,96953,
-640.581,2521.72,123.314,µm,Spot,Position,1,96954,
-634.973,2538.05,140.851,µm,Spot,Position,1,96955,
-601.5,2517.47,102.85,µm,Spot,Position,1,96958,
